Studio Color Code	BL Color Code	LDraw Color Code	LDD color code	Studio Color Name	BL Color Name	LDraw Color Name	LDD Color Name	RGB value	Alpha	CategoryName	Color Group Index		Ins_RGB	Ins_CMYK
95	95	179	315	Flat Silver	Flat Silver	Flat_Silver	Silver Metallic	#888687	1	Pearl Colors	-1	o		
95		179	131	Flat Silver		Flat_Silver	Silver	#888687	1	Pearl Colors	-1	from_lego		
95		179	146	Flat Silver		Flat_Silver	Metallic Sand Violet	#888687	1	Pearl Colors	-1	from_lego		
83	83	183	183	Pearl White	Pearl White	Pearl_White	Metallic White	#F1F2F1	1	Pearl Colors	-1	o		0,0,0,5
110	110	191	191	Bright Light Orange	Bright Light Orange	Bright_Light_Orange	Flame yellowish orange	#F7BA3C	1	Solid Colors	7	o		0,25,76,3
105	105	212	212	Bright Light Blue	Bright Light Blue	Bright_Light_Blue	Light Royal blue	#85C0E0	1	Solid Colors	16	o		41,14,0,12
27	27	216	216	Rust	Rust	Rust	Rust	#B20F03	1	Solid Colors	1	o		0,92,98,30
103	103	226	226	Bright Light Yellow	Bright Light Yellow	Bright_Light_Yellow	Cool Yellow	#FEEF39	1	Solid Colors	8	o		0,6,78,0
103		226	15	Bright Light Yellow		Bright_Light_Yellow	Lemon	#FEEF39	1	Solid Colors	8	from_lego		0,6,78,0
164	164	231	231	Trans-Light Orange	Trans-Light Orange	Trans_Bright_Light_Orange	TR. FL. YEL ORA	#F0A423	0.5019608	Transparent Colors	5	o		0,32,85,6
87	87	232	232	Sky Blue	Sky Blue	Sky_Blue	Dove blue	#55BDD5	1	Solid Colors	14	o		60,11,0,16
1007	11	256	26	Rubber Black	Black	Rubber_Black	Black	#202020	1	Rubber Colors	-1	to_lego,to_bl		0,0,0,87
63	63	272	140	Dark Blue	Dark Blue	Dark_Blue	Earth blue	#0C315A	1	Solid Colors	17	o		87,46,0,65
1004	7	273	23	Rubber Blue	Blue	Rubber_Blue	Bright Blue	#0032B1	1	Rubber Colors	17	to_lego,to_bl		100,72,0,31
114	114	284	284	Trans-Light Purple	Trans-Light Purple	Trans_Light_Purple	TR. RED-LILAC	#956F9E	0.5019608	Transparent Colors	21	ignore,to_lego,to_bl		
221	221	285	285	Trans-Light Green	Trans-Light Green	Trans_Light_Green	Transparent Light Green	#94E5AB	0.5019608	Transparent Colors	10	o		35,0,25,10
80	80	288	141	Dark Green	Dark Green	Dark_Green	Earth Green	#174531	1	Solid Colors	12	o		67,0,29,73
118	118	294	50	Glow In Dark Trans	Glow In Dark Trans	Glow_In_Dark_Trans	Phosphorescent White	#BCC5AC	0.9803922	Milky Colors	9	o		5,0,13,23
115	115	297	297	Pearl Gold	Pearl Gold	Pearl_Gold	Warm Gold	#CB9B2A	1	Pearl Colors	7	o		0,24,79,20
162	162	302	42	Glitter Trans-Light Blue 	Glitter Trans-Light Blue 	Glitter_Trans_Light_Blue	Transparent Light Blue	#AEE9EF	0.5019608	Glitter Colors	14	to_lego		27,3,0,6
